title,rating,ratingLevel,ratingDescription,release_year,user_rating_score,user_rating_size
The Secret Life of Pets,PG,for action and some rude humor,60,2016,NA,81
LEGO Jurassic World: The Indominus Escape,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,82
The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65,80
Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81,80
Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93,80
Antz,PG,moderate adult language and intense action,60,1998,80,80
Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,NA,82
The Prince of Egypt,PG,intense scenes dealing with strong content,60,1998,81,80
Paulie,PG,Parental guidance suggested. May not be suitable for children.,60,1998,NA,82
Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95,80
The Road to El Dorado,PG,mild thematic material and language,60,2000,91,80
Fantasia 2000,G,General Audiences. Suitable for all ages.,35,2000,NA,82
Pocahontas II: Journey to a New World,TV-G,Suitable for all ages.,35,1998,64,80
The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95,80
Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61,80
An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67,80
Pooh's Grand Adventure: The Search for Christopher Robin,G,General Audiences. Suitable for all ages.,35,1997,NA,82
FernGully 2: The Magical Rescue,G,General Audiences. Suitable for all ages.,35,1998,NA,82
Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,NA,82
Balto,G,General Audiences. Suitable for all ages.,35,1995,64,80
Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,NA,82
The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35,1998,NA,82
The Brave Little Toaster to the Rescue,G,General Audiences. Suitable for all ages.,35,1997,NA,82
An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35,1999,NA,82
An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,NA,82
The Last Unicorn,G,General Audiences. Suitable for all ages.,35,1982,NA,82
The Iron Giant,PG,fantasy action and mild language,60,1999,83,80
Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57,80
The Fox and the Hound 2,G,General Audiences. Suitable for all ages.,35,2006,NA,82
The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,NA,82
Jetsons: The Movie,G,General Audiences. Suitable for all ages.,35,1990,NA,82
We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35,1993,NA,82
A Monster in Paris,PG,some action violence involving gunplay and mild rude humor,60,2011,NA,82
The Gruffalo,TV-Y,Suitable for all ages.,10,2009,NA,82
DreamWorks How to Train Your Dragon Legends,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,NA,82
Ernest & Celestine,PG,some scary moments,60,2012,NA,82
The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81,80
Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72,80
Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35,2009,NA,82
PopPixie,TV-G,Suitable for all ages.,35,2011,NA,82
Jack and the Cuckoo-Clock Heart,PG,scary images suggestive material some language and smoking,60,2013,NA,82
The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57,80
Axel: The Biggest Little Hero,PG,some scary images perilous action sequences and mild rude humor,60,2013,NA,82
The Adventures of Figaro Pho,TV-Y7,Suitable for children ages 7 and older,41,2015,NA,82
The Boxcar Children,G,General Audiences. Suitable for all ages.,35,2014,NA,82
Pet Pals in Windland,TV-G,Suitable for all ages.,35,2014,NA,82
Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84,80
Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,NA,82
Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96,80
Quackerz,PG,rude and suggestive humor and some action,60,2016,NA,82
Hatched,TV-Y7,Suitable for children ages 7 and older,41,2013,NA,82
Blinky Bill: The Movie,PG,some rude humor,60,2015,NA,82
The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65,80
Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81,80
Homeward Bound: The Incredible Journey,G,General Audiences. Suitable for all ages.,35,1993,96,80
Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93,80
Antz,PG,moderate adult language and intense action,60,1998,80,80
Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,NA,82
The Road to El Dorado,PG,mild thematic material and language,60,2000,91,80
Fantasia 2000,G,General Audiences. Suitable for all ages.,35,2000,NA,82
Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61,80
Harry and the Hendersons,PG,Parental guidance suggested. May not be suitable for children.,60,1987,58,80
Pooh's Grand Adventure: The Search for Christopher Robin,G,General Audiences. Suitable for all ages.,35,1997,NA,82
Cats & Dogs,PG,animal action and humor,60,2001,NA,82
Atlantis: The Lost Empire,PG,action violence,60,2001,96,80
FernGully: The Last Rainforest,G,General Audiences. Suitable for all ages.,35,1992,70,80
Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,NA,82
Balto,G,General Audiences. Suitable for all ages.,35,1995,64,80
Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,NA,82
Tarzan & Jane,G,General Audiences. Suitable for all ages.,35,2002,NA,82
Atlantis: Milo's Return,G,General Audiences. Suitable for all ages.,35,2003,79,80
The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35,1998,NA,82
The Brave Little Toaster to the Rescue,G,General Audiences. Suitable for all ages.,35,1997,NA,82
Annie,PG,adult content and mld violence,60,1982,68,80
Recess: Taking the Fifth Grade,G,General Audiences. Suitable for all ages.,35,2003,NA,82
An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35,1999,NA,82
Batched,G,General Audiences. Suitable for all ages.,35,2000,NA,82
An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,NA,82
Winnie the Pooh: Springtime with Roo,G,General Audiences. Suitable for all ages.,35,2004,NA,82
The Last Unicorn,G,General Audiences. Suitable for all ages.,35,1982,NA,82
The Iron Giant,PG,fantasy action and mild language,60,1999,83,80
Mulan 2,G,General Audiences. Suitable for all ages.,35,2004,85,80
Pooh's Heffalump Movie,G,General Audiences. Suitable for all ages.,35,2005,NA,82
Kronk's New Groove,G,General Audiences. Suitable for all ages.,35,2005,NA,82
Corpse Bride,PG,some scary images and action and brief mild language,60,2005,91,80
Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57,80
The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,NA,82
Jetsons: The Movie,G,General Audiences. Suitable for all ages.,35,1990,NA,82
We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35,1993,NA,82
Ernest & Celestine,PG,some scary moments,60,2012,NA,82
Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72,80
Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35,2009,NA,82
Disney Animation Collection: Vol. 2: Three Little Pigs,TV-G,Suitable for all ages.,35,2009,NA,82
Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35,2009,NA,82
The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57,80
Underdogs,PG,Parental guidance suggested. May not be suitable for children.,60,2013,NA,82
The Boxcar Children,G,General Audiences. Suitable for all ages.,35,2014,NA,82
Ribbit,PG,some peril,60,2014,NA,82
Yellowbird,PG,Parental guidance suggested. May not be suitable for children.,60,2014,NA,82
Octonauts,TV-Y,Suitable for all ages.,10,2015,NA,82
The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,NA,82
Quackerz,PG,rude and suggestive humor and some action,60,2016,NA,82
Growing Up Wild,G,,35,2016,80,80
Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81,80
Mr. Magoo,PG,mild language and action sequences,60,1997,NA,82
Flubber,PG,slapstick action and mild language,60,1997,83,80
Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93,80
Antz,PG,moderate adult language and intense action,60,1998,80,80
Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,NA,82
Paulie,PG,Parental guidance suggested. May not be suitable for children.,60,1998,NA,82
The Road to El Dorado,PG,mild thematic material and language,60,2000,91,80
Air Bud: World Pup,G,General Audiences. Suitable for all ages.,35,2000,NA,82
An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67,80
Harry and the Hendersons,PG,Parental guidance suggested. May not be suitable for children.,60,1987,58,80
Cats & Dogs,PG,animal action and humor,60,2001,NA,82
Baby's Day Out,PG,mild language and comic action,60,1994,71,80
Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,NA,82
Balto,G,General Audiences. Suitable for all ages.,35,1995,64,80
Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,NA,82
Blank Check,PG,Parental guidance suggested. May not be suitable for children.,60,1994,93,80
Heavyweights,PG,some rude language and pranks,60,1995,74,80
Inspector Gadget 2,G,General Audiences. Suitable for all ages.,35,2003,NA,82
Air Bud: Spikes Back,G,General Audiences. Suitable for all ages.,35,2003,NA,82
Annie,PG,adult content and mld violence,60,1982,68,80
An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,NA,82
D2: The Mighty Ducks,PG,some mild language and rough hockey action,60,1994,70,80
Honey I Shrunk the Kids,PG,Parental guidance suggested. May not be suitable for children.,60,1989,80,80
The Iron Giant,PG,fantasy action and mild language,60,1999,83,80
The Fox and the Hound 2,G,General Audiences. Suitable for all ages.,35,2006,NA,82
Air Buddies,PG,some mild rude humor,60,2006,NA,82
Dr. Dolittle: Tail to the Chief,PG,brief mild language and some rude behavior,60,2008,NA,82
Flicka 2,PG,some reckless behavior,60,2010,NA,82
H2O: Just Add Water,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2009,74,80
The Gruffalo,TV-Y,Suitable for all ages.,10,2009,NA,82
Dolphin Tale,PG,some mild thematic elements,60,2011,NA,82
Pound Puppies,TV-Y,Suitable for all ages.,10,2013,NA,82
Beverly Hills Chihuahua 3: Viva La Fiesta!,G,General Audiences. Suitable for all ages.,35,2012,NA,82
The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81,80
Step Dogs,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,NA,82
PokÌ©mon: Indigo League,TV-Y,Suitable for all ages.,10,2000,74,80
Mia and Me,TV-Y,Suitable for all ages.,10,2015,NA,82
Paddington,PG,mild action and rude humor,60,2014,70,80
Russell Madness,PG,some rude humor and sports action,60,2015,NA,82
My Animal Friends,TV-Y,Suitable for all ages.,10,2013,NA,82
Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,41,2017,72,80
Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,NA,82
Wiener Dog Internationals,G,General Audiences. Suitable for all ages.,35,2015,NA,82
Pup Star,G,General Audiences. Suitable for all ages.,35,2016,NA,82
The BFG,PG,for action/peril some scary moments and brief rude humor,60,2016,97,80
The Secret Life of Pets,PG,for action and some rude humor,60,2016,NA,81
Precious Puppies,TV-G,Suitable for all ages.,35,2003,NA,82
Beary Tales,TV-G,Suitable for all ages.,35,2013,NA,82
Growing Up Wild,G,,35,2016,80,80
